scenario,density,density_veh_km_lane,weather,hazard_type,policy,slot_epochs,seed,rwcr,tir_median_s,tir_p95_s,tx_per_at_risk_informed,actionable_deadline_miss_rate,transmissions
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,5,0.9135456477130292,0.40000000000000036,0.6699999999999992,1.0338983050847457,0.32947976878612717,122.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,6,0.912752188316034,0.3000000000000007,0.5,0.9473684210526315,0.3924731182795699,108.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,7,0.9395392569255403,0.3000000000000007,0.6000000000000005,0.9469026548672567,0.21985815602836878,107.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,8,0.8758107292882087,0.3000000000000007,0.5,1.2285714285714286,0.3892215568862275,129.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,2,9,0.9189506454853011,0.40000000000000036,0.5,1.0526315789473684,0.26490066225165565,120.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,0,0.9199837185549777,0.3000000000000007,0.6000000000000005,0.9642857142857143,0.323170731707317,108.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,1,0.9347209861195223,0.8000000000000007,1.1000000000000005,1.0476190476190477,0.3112582781456954,110.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,2,0.9047119136035224,0.3000000000000007,0.5,0.990990990990991,0.36257309941520466,110.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.8661417322834646,0.23636363636363633,110.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,0.975,0.3314285714285714,117.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,5,0.9058166497318062,0.40000000000000036,0.5750000000000004,0.9743589743589743,0.33526011560693647,114.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,6,0.912752188316034,0.3000000000000007,0.5049999999999998,0.9649122807017544,0.3924731182795699,110.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,7,0.9308702678209545,0.3000000000000007,0.7000000000000002,0.9285714285714286,0.22695035460992907,104.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,8,0.8667757223805036,0.3000000000000007,0.5,1.2211538461538463,0.3892215568862275,127.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,5,9,0.9189506454853011,0.40000000000000036,0.7000000000000002,0.9035087719298246,0.26490066225165565,103.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,0,0.9199837185549777,0.3000000000000007,0.6000000000000005,0.9375,0.323170731707317,105.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,1,0.9308310615869959,1.3000000000000007,1.6149999999999995,1.0769230769230769,0.3178807947019867,112.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,2,0.9047119136035224,0.3000000000000007,0.5,1.072072072072072,0.36257309941520466,119.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,3,0.9628109818955932,0.40000000000000036,0.6000000000000005,0.952755905511811,0.23636363636363633,121.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,4,0.9397862865686661,0.40000000000000036,0.6000000000000005,1.1,0.3314285714285714,132.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,5,0.9135456477130292,0.40000000000000036,0.6000000000000005,0.9745762711864406,0.33526011560693647,115.0
rural_highway,20.0,20.0,clear,fog_bank,slotted_1p,10,6,0.912752188316034,0.3000000000000007,0.5049999999999998,1.0526315789473684,0.3924731182795699,120.0
