scenario,density,density_veh_km_lane,weather,hazard_type,seed,topology_split,hazard_split,weather_split,risk_est_precision,risk_est_recall,risk_est_f1,risk_peak_corr,n_at_risk_oracle,n_at_risk_causal,oracle_horizon_s,backend
rural_highway,1.0,1.0,moderate_rain,black_ice,6,train,held_out,held_out,0.9090909090909091,1.0,0.9523809523809523,0.8944910982049612,10,11,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,7,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.89333073357811,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,8,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.9112075919779161,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,moderate_rain,black_ice,9,train,held_out,held_out,0.9230769230769231,1.0,0.9600000000000001,0.858740294404188,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,0,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8920711293800632,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,1,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.7974512371124257,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,2,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.7692689986237938,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,3,train,train,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8914731521316773,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,4,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.7982561103999641,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,5,train,train,held_out,0.8,1.0,0.888888888888889,0.7887324728825216,8,10,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,6,train,train,held_out,0.8,1.0,0.888888888888889,0.7643100151617791,8,10,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,7,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.7824955641331499,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,fog_bank,8,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.9029910845881551,12,13,226.35532333438687,fallback
