scenario,density_veh_km_lane,hazard_split,weather_split,metric,n_policies,fallback_best,sumo_best,best_changed,kendall_tau,fallback_best_value,sumo_same_policy_value,sumo_best_value,flip_gain,flip_gain_rel
rural_highway,5.0,train,train,actionable_deadline_miss_rate,9,flooding,greedy_farthest,True,0.5352643613280604,0.3386883931470823,0.41464251193578555,0.4053380127761933,0.00930449915959225,0.022439809936886573
urban_nlos,1.0,held_out,held_out,tx_per_at_risk_informed,9,slotted_1p,counter_based,True,,1.7671987734487735,inf,inf,,
urban_nlos,1.0,held_out,held_out,rwcr,9,flooding,flooding,False,0.7777777777777778,0.5841086349688805,0.17489523475620794,0.17489523475620794,0.0,0.0
urban_nlos,1.0,held_out,held_out,tir_median_s,9,flooding,p_persistence_07,True,0.3888888888888889,4.19,3.4368421052631586,3.3894736842105266,0.04736842105263195,0.01378254211332323
urban_nlos,1.0,held_out,held_out,actionable_deadline_miss_rate,9,flooding,flooding,False,0.7777777777777778,0.4637540421180127,0.8559247187728657,0.8559247187728657,0.0,0.0
urban_nlos,1.0,held_out,train,tx_per_at_risk_informed,9,p_persistence_07,counter_based,True,,1.674345238095238,inf,inf,,
urban_nlos,1.0,held_out,train,rwcr,9,flooding,flooding,False,0.8888888888888888,0.6150591031859693,0.15024891908818835,0.15024891908818835,0.0,0.0
urban_nlos,1.0,held_out,train,tir_median_s,9,p_persistence_07,p_persistence_03,True,-0.2777777777777778,4.015000000000001,2.2394736842105267,2.1921052631578952,0.047368421052631504,0.021151586368977637
urban_nlos,1.0,held_out,train,actionable_deadline_miss_rate,9,flooding,flooding,False,0.8333333333333334,0.4215797397047397,0.8689353797922751,0.8689353797922751,0.0,0.0
urban_nlos,1.0,train,held_out,tx_per_at_risk_informed,9,counter_based,counter_based,False,,inf,inf,inf,,
urban_nlos,1.0,train,held_out,rwcr,9,flooding,flooding,False,0.7777777777777778,0.5986274545167344,0.18490508274225473,0.18490508274225473,0.0,0.0
urban_nlos,1.0,train,held_out,tir_median_s,9,flooding,p_persistence_07,True,0.4444444444444444,4.264406779661018,8.043859649122808,7.996491228070176,0.04736842105263239,0.00588876772082889
